income,education,log_income,age_centered,age_centered_squared,region,household_size,female_head,predicted_probability
68200.83749999994,University,11.130212123814804,4.179965845173733,17.472114466818958,North,2,0,0.5027138375219244
79046.94843749999,Primary or less,11.27779723895133,4.179965845173733,17.472114466818958,North,2,0,0.20317563939649952
79046.94843749999,Lower secondary,11.27779723895133,4.179965845173733,17.472114466818958,North,2,0,0.3308386954081315
79046.94843749999,Upper secondary,11.27779723895133,4.179965845173733,17.472114466818958,North,2,0,0.4501874990559812
79046.94843749999,University,11.27779723895133,4.179965845173733,17.472114466818958,North,2,0,0.5501065743018412
97361.28749999996,Primary or less,11.48618395169065,4.179965845173733,17.472114466818958,North,2,0,0.2539453069727706
97361.28749999996,Lower secondary,11.48618395169065,4.179965845173733,17.472114466818958,North,2,0,0.39381380799494353
97361.28749999996,Upper secondary,11.48618395169065,4.179965845173733,17.472114466818958,North,2,0,0.5171565099761427
97361.28749999996,University,11.48618395169065,4.179965845173733,17.472114466818958,North,2,0,0.6156732047296877
141658.4874999994,Primary or less,11.861174422277577,4.179965845173733,17.472114466818958,North,2,0,0.3596328260190691
141658.4874999994,Lower secondary,11.861174422277577,4.179965845173733,17.472114466818958,North,2,0,0.513279461373131
141658.4874999994,Upper secondary,11.861174422277577,4.179965845173733,17.472114466818958,North,2,0,0.6352172733103942
141658.4874999994,University,11.861174422277577,4.179965845173733,17.472114466818958,North,2,0,0.7246868491007005
