nquest,stock_participation,mutual_fund_or_etf,direct_listed_stock,income,log_income,education,age,age_centered,age_centered_squared,region,household_size,female_head,weight
1030145,0,0,0,49856.363,10.816901,University,47,-8,64,South and Islands,2,1,0.058717865
1030151,0,0,0,4600.0,8.433811,Lower secondary,49,-6,36,South and Islands,1,0,1.1629875
1030161,0,0,0,35401.85,10.47452,Lower secondary,86,31,-63,South and Islands,1,1,0.35766104
1030162,0,0,0,90431.59,11.412349,Upper secondary,80,25,113,South and Islands,3,0,0.069841705
1030166,0,0,0,9900.0,9.20029,Upper secondary,84,29,73,South and Islands,1,1,0.37097615
1030170,0,0,0,15075.268,9.6208105,Upper secondary,69,14,-60,South and Islands,2,1,0.16036047
1030184,0,0,0,11600.037,9.358764,Primary or less,80,25,113,South and Islands,1,1,0.37121308
1030189,0,0,0,32006.02,10.373679,Lower secondary,65,10,100,South and Islands,3,0,0.3052676
1030190,0,0,0,35114.953,10.466382,Lower secondary,60,5,25,South and Islands,3,0,0.06562801
1030197,0,0,0,22306.271,10.012623,Upper secondary,75,20,-112,South and Islands,2,0,0.2110476
1030199,1,0,1,54482.71,10.905639,Lower secondary,70,15,-31,South and Islands,2,0,0.20454085
1030209,0,0,0,25501.568,10.146495,Lower secondary,59,4,16,South and Islands,5,0,0.07263145
1030216,0,0,0,32403.768,10.38603,Lower secondary,51,-4,16,South and Islands,4,1,0.08215645
1030228,0,0,0,72604.7,11.192785,Upper secondary,50,-5,25,South and Islands,5,0,0.108613715
1030254,0,0,0,8400.0,9.035987,Upper secondary,48,-7,49,South and Islands,1,1,0.39001727
1030262,0,0,0,17864.836,9.790589,Upper secondary,83,28,16,South and Islands,1,0,1.5247533
1030265,0,0,0,19000.627,9.852227,Primary or less,82,27,-39,South and Islands,2,0,0.27530384
1030266,0,0,0,10767.0,9.284242,Primary or less,70,15,-31,South and Islands,1,1,0.8574742
1030267,0,0,0,13280.0,9.494015,Primary or less,71,16,0,South and Islands,1,1,1.6128498
1030276,0,0,0,59218.816,10.988995,Lower secondary,67,12,-112,South and Islands,3,0,0.33070388
1030288,0,0,0,43897.04,10.689602,Upper secondary,66,11,121,South and Islands,2,0,0.7407553
1030293,0,0,0,32372.307,10.385058,Lower secondary,57,2,4,South and Islands,2,0,0.44270143
1030298,0,0,0,16800.0,9.729135,Upper secondary,57,2,4,South and Islands,2,1,1.2929894
1030317,0,0,0,17906.621,9.792926,Upper secondary,63,8,64,South and Islands,1,1,1.6862811
1030339,0,0,0,3500.6272,8.160697,Upper secondary,23,-32,0,South and Islands,4,1,2.5279226
1030370,0,0,0,21013.785,9.952934,Upper secondary,36,-19,105,South and Islands,1,1,1.2350783
1030382,0,0,0,11600.0,9.358761,Primary or less,89,34,-124,South and Islands,1,1,0.06801643
1030385,0,0,0,4200.0,8.34284,Primary or less,81,26,-92,South and Islands,1,1,0.41151404
1030414,0,0,0,28801.527,10.268184,Primary or less,92,37,89,South and Islands,2,1,0.06361095
1030416,0,0,0,5400.0,8.594154,Lower secondary,89,34,-124,South and Islands,1,1,0.40269408
1030433,0,0,0,16800.0,9.729135,Upper secondary,61,6,36,South and Islands,3,0,0.047590535
1030436,0,0,0,45606.168,10.727798,Primary or less,87,32,0,South and Islands,5,0,0.39578894
1030439,0,0,0,13870.0,9.537483,Primary or less,83,28,16,South and Islands,3,1,0.41351885
1030473,0,0,0,20400.0,9.92329,Lower secondary,84,29,73,South and Islands,1,1,0.38949654
1030476,0,0,0,8000.627,8.987275,Lower secondary,49,-6,36,South and Islands,1,0,0.22226445
1030484,0,0,0,17002.074,9.741091,Primary or less,76,21,-71,South and Islands,2,1,0.47089264
1030492,0,0,0,36321.844,10.5001745,Upper secondary,57,2,4,South and Islands,4,0,0.07999935
1030494,0,0,0,7200.0,8.881836,Primary or less,76,21,-71,South and Islands,2,0,0.3181257
1030503,0,0,0,23400.0,10.060492,Primary or less,77,22,-28,South and Islands,2,0,0.24273896
1030515,0,0,0,74000.0,11.211821,Primary or less,75,20,-112,South and Islands,3,0,0.07325503
1030529,0,0,0,10532.276,9.262199,Primary or less,83,28,16,South and Islands,2,1,0.044484615
1030531,0,0,0,21626.877,9.981692,Lower secondary,75,20,-112,South and Islands,3,0,0.3882689
1030539,0,0,0,32421.918,10.38659,University,79,24,64,South and Islands,1,1,0.037967186
1030542,0,0,0,24003.023,10.085935,Upper secondary,79,24,64,South and Islands,2,0,0.32045877
1030563,0,0,0,67205.87,11.115516,Lower secondary,88,33,65,South and Islands,3,0,0.05938722
1030573,0,0,0,33000.0,10.404263,Upper secondary,74,19,105,South and Islands,2,1,0.45859584
1030583,0,0,0,20319.408,9.919332,Upper secondary,72,17,33,South and Islands,2,0,0.31825572
1030593,0,0,0,50463.137,10.828999,Upper secondary,72,17,33,South and Islands,2,0,0.32160175
1030597,0,0,0,47500.0,10.768485,Lower secondary,72,17,33,South and Islands,4,0,0.044311013
1030611,0,0,0,19200.0,9.862665,Primary or less,70,15,-31,South and Islands,2,0,0.47582573
1030614,0,0,0,13200.0,9.487972,Primary or less,82,27,-39,South and Islands,1,1,0.39337128
1030623,0,0,0,24015.97,10.086474,Upper secondary,73,18,68,South and Islands,1,0,0.37338305
1030626,0,0,0,19880.0,9.8974695,Primary or less,73,18,68,South and Islands,9,0,0.0684907
1030631,0,0,0,44405.082,10.701109,University,70,15,-31,South and Islands,2,0,0.03136622
1030633,0,0,0,37459.406,10.5310135,Upper secondary,72,17,33,South and Islands,2,1,0.042258322
1030634,0,0,0,32351.254,10.384408,Lower secondary,82,27,-39,South and Islands,2,0,0.22366138
1030651,0,0,0,52690.766,10.872195,Upper secondary,82,27,-39,South and Islands,4,0,0.042620108
1030660,0,0,0,135769.14,11.818711,University,67,12,-112,South and Islands,5,0,0.035740748
1030665,0,0,0,33030.0,10.405171,Lower secondary,29,-26,-92,South and Islands,3,0,0.9034911
1030667,0,0,0,24000.0,10.085809,Upper secondary,70,15,-31,South and Islands,2,0,0.2491022
1030670,0,0,0,72800.0,11.195471,Upper secondary,71,16,0,South and Islands,2,0,0.29880896
1030683,0,0,0,42000.0,10.645425,Primary or less,78,23,17,South and Islands,2,0,0.04191931
1030688,0,0,0,34043.902,10.435407,Lower secondary,65,10,100,South and Islands,1,0,0.3567799
1030689,0,0,0,30029.945,10.309951,University,76,21,-71,South and Islands,2,0,0.037810106
1030690,0,0,0,23675.088,10.072179,Lower secondary,68,13,-87,South and Islands,2,0,0.24493991
1030700,0,0,0,59618.156,10.995715,University,72,17,33,South and Islands,2,0,0.03102592
1030703,0,0,0,56900.0,10.949051,Lower secondary,67,12,-112,South and Islands,6,0,0.050232545
1030709,0,0,0,26200.0,10.173514,Lower secondary,64,9,81,South and Islands,2,0,0.24165651
1030713,0,0,0,50000.0,10.819778,Upper secondary,65,10,100,South and Islands,3,0,0.10429746
